ID;Distributor Name;Location;Car Name;Manufacturer Name;Car Type;Color;Gearbox;Number of Seats;Number of Doors;Energy;Manufactured Year;Price-$;Mileage-KM;Engine Power-HP;Purchased Date;Car Sale Status;Sold Date;Purchased Price-$;Sold Price-$;Margin-%;Sales Agent Name;Sales Rating;Sales Commission-$;Feedback
UEY8B5;Motor;Florida;Fortuner;Toyota;SUV;Gray;Manual;8;5;Diesel;2019;8100;1000;200;14/09/2017;Un Sold;01/01/1970;6666;0;0;Shruthi;4;0;Excellent
POP8LF;Marchi;Philadelphia;Fortuner;Toyota;SUV;Red;Manual;8;5;Hybrid;2022;8700;1009;200;15/10/2019;Un Sold;01/01/1970;7028;0;0;Swapna;3;0;Average
ITROXI;Cars24;Tennessee;Dzire;Maruti;Sedan;Blue;Automatic;5;5;Petrol;2020;6900;1011;100;08/09/2024;Sold;04/03/2024;5458;6333;16;Rithvik;1;175;Excellent
OJXD5Q;Trust;Chicago;Plato;Prazo;Convertible;Red;Manual;2;2;Electric;2024;10000;1020;250;27/06/2016;Sold;02/06/2017;9299;9269;0;Sweta;5;0;Excellent
728F4Q;Oto;Denver;Dzire;Maruti;Sedan;Black;Manual;5;5;Electric;2020;8400;1021;100;19/10/2021;Un Sold;01/01/1970;6634;0;0;Hariom;4;0;Poor
A6DLO0;Carousell;Tucson;Plato;Prazo;Convertible;Red;Automatic;2;2;Petrol;2024;8500;1023;250;24/01/2015;Un Sold;01/01/1970;7706;0;0;Swapna;2;0;Excellent
J671SX;Oto;Texas;Scorpio;Mahindra;SUV;Blue;Automatic;5;5;Hybrid;2019;9000;1027;120;19/07/2022;Un Sold;01/01/1970;7847;0;0;Shilpa;2;0;Excellent
ALUHG3;Trivett;Chicago;i20;Hyundai;Hatchback;Red;Manual;4;5;Electric;2022;7700;1031;120;10/08/2021;Un Sold;01/01/1970;5752;0;0;Piyush;3;0;Excellent
SHIJQ6;Zupps;North Carolina;Swift;Maruti;Sedan;Black;Automatic;5;4;Electric;2021;8300;1048;115;24/06/2024;Un Sold;01/01/1970;7363;0;0;Supriya;3;0;Good
TLW7TG;Trivett;San Jose;Hilux;Toyota;Truck;Red;Automatic;4;2;Hybrid;2015;8900;1048;200;14/01/2021;Un Sold;01/01/1970;7229;0;0;Pavan;1;0;Average
FKAGBG;Marchi;Florida;Dzire;Maruti;Sedan;Gray;Automatic;5;5;Petrol;2020;6900;1064;100;29/05/2017;Un Sold;01/01/1970;5570;0;0;Vihaan;5;0;Good
